Year,Time,Tonnes,Topic,Grp,ALL_TOTAL_tonnes,ALL_ANIMAL_tonnes,Prop_TOTAL,Prop_Animal,ID
1961,12,71362169,Agriculture,Animal,2433638153,107373066,2.93,66.46,Agriculture_Animal
1962,13,74654264,Agriculture,Animal,2532708549,113684655,2.95,65.67,Agriculture_Animal
1963,14,78830480,Agriculture,Animal,2581877445,118734644.1,3.05,66.39,Agriculture_Animal
1964,15,80414414,Agriculture,Animal,2674851604,124473758.1,3.01,64.6,Agriculture_Animal
1965,16,84465228,Agriculture,Animal,2708054100,129055832.4,3.12,65.45,Agriculture_Animal
1966,17,88129575,Agriculture,Animal,2866595711,136404759.8,3.07,64.61,Agriculture_Animal
1967,18,92268694,Agriculture,Animal,3000737203,143506064,3.07,64.3,Agriculture_Animal
1968,19,95209630,Agriculture,Animal,3066651502,149569851,3.1,63.66,Agriculture_Animal
1969,20,96981068,Agriculture,Animal,3096964751,149496024,3.13,64.87,Agriculture_Animal
1970,21,100669144,Agriculture,Animal,3177656295,158527048,3.17,63.5,Agriculture_Animal
1971,22,104832550,Agriculture,Animal,3349173674,162922451,3.13,64.35,Agriculture_Animal
1972,23,107778961,Agriculture,Animal,3262764417,161285105,3.3,66.83,Agriculture_Animal
1973,24,108542087,Agriculture,Animal,3530854405,161846562,3.07,67.06,Agriculture_Animal
1974,25,114039095,Agriculture,Animal,3460320616,170331911,3.3,66.95,Agriculture_Animal
1975,26,115820268,Agriculture,Animal,3522690795,171112057,3.29,67.69,Agriculture_Animal
1976,27,118704716,Agriculture,Animal,3681661669,177425641,3.22,66.9,Agriculture_Animal
1977,28,122614594,Agriculture,Animal,3738268709,181147100,3.28,67.69,Agriculture_Animal
1978,29,127501337,Agriculture,Animal,3978815962,188522946,3.2,67.63,Agriculture_Animal
1979,30,132735348,Agriculture,Animal,3956747095,194398155.5,3.35,68.28,Agriculture_Animal
1980,31,136738269,Agriculture,Animal,3895198740,198868422,3.51,68.76,Agriculture_Animal
1981,32,139364094,Agriculture,Animal,4088594076,204359738,3.41,68.2,Agriculture_Animal
1982,33,140662104,Agriculture,Animal,4226398116,207444255.7,3.33,67.81,Agriculture_Animal
1983,34,145313846,Agriculture,Animal,4064136511,212715854.4,3.58,68.31,Agriculture_Animal
1984,35,149438648,Agriculture,Animal,4432185632,222488923.4,3.37,67.17,Agriculture_Animal
1985,36,154493243,Agriculture,Animal,4536855775,230174124.5,3.41,67.12,Agriculture_Animal
1986,37,159156452,Agriculture,Animal,4582830987,240841289.9,3.47,66.08,Agriculture_Animal
1987,38,164889372,Agriculture,Animal,4535386236,248585966.5,3.64,66.33,Agriculture_Animal
