Date,Headline,Quote,State/Province,Country,Region,Topic,Taxa,Impact,Other,Occurrence
2001,IPCC - Intergovernmental Panel on Climate Change,Development of marine aquaculture may be slowed by a decreasing availability of sites with cool enough surface water temperature and by increased susceptibility to disease.,,World,World,temp,all,negative,impact,future
2007,"Ocean Acidification Predicted To Harm Shellfish, Aquaculture","If this continues at the same rate, the Intergovernmental Panel on Climate Change (IPCC) predicts a further decline of up to 0.35 by the end of the century.",,World,World,OA,shellfish,negative,impact,future
2008,Fish farms among new chances for arid nations,"... new businesses, sometimes helped by microcredits, to cope with climate change. ... Ponds used for “arid aquaculture,” using inland fish able to withstand high ...",,"China, Tunisia, Pakistan","Asia, Middle East, Africa",freshwater,fish,positive,adapt,future
2008,'Arid Aquaculture' Among Livelihoods Promoted To Relieve ...,"""Arid aquaculture"" using ponds filled with salty, undrinkable water for fish production is ... pressures that will only be exacerbated by the onset of climate change.",,"China, Tunisia, Pakistan","Asia, Middle East, Africa",freshwater,fish,positive,adapt,future
2008,Fish farming in Malawi's dustbowl,"""When we first started fish farming - people thought it was mad - they told us it will ... are under threat from climate change and over-intensive farming practices, ...",Malawi,Ghana,Africa,freshwater,fish,positive,adapt,future
2008,Scientist raises interest in seawater farming,"... the ocean into manmade ""rivers"" to nourish commercial aquaculture operations, ... could prove to be an important weapon in the fight against climate change.",,Mexico,North America/Caribbean,sea level,all,positive,adapt,future
2009,"Climate change is 'biggest stress' on ocean, senator says",A number of speakers predicted that climate change will lead to even higher ... ecosystems and investing in more environmentally sustainable aquaculture.,,USA,North America/Caribbean,temp,all,positive,adapt,future
2009,Ocean acidification may contribute to global shellfish decline,Relatively minor increases in ocean acidity brought about by high levels of carbon dioxide have significant detrimental ...,,World,World,OA,shellfish,negative,impact,future
2009,Acid Rain: The End of an Era for Shellfish?,"Experts at a symposium on climate change testified yesterday to a ... and lobster, the Cape also has the largest aquaculture industry in the state, ...",Massachusetts,USA,North America/Caribbean,OA,shellfish,negative,impact,now
2009,Is this the future of fish farming?,"But fin-fish farming is itself highly problematic and, like industrial fishing itself, intricately ... that are falling barren to over-fishing, acidification and climate change.",,World,World,multiple,fish,neutral,adapt,future
2009,The mystery of the aquadeaths,Union environment minister Kamal Nath recently promised anti-aquaculture activists in Orissa that environment impact assessments (EIA) for shrimp farms ...,Orissa,India,Asia,disease,shrimp,negative,impact,now
