Year,Key words,Impact,Adapt,Country,Region
2000,Adaptation opportunities to climate variability and change in the exploitation and utilisation of marine living resources,fisheries,aquaculture,Global,World
2002,"Migration, remittances, livelihood trajectories, and social resilience",,relocation,Vietnam,Asia
2007,Geographic and seasonal patterns and limits on the adaptive response to temperature of European Mytilus spp. and Macoma balthica populations,temp,genetics/breeding,,Europe
2009,DESERTS AND DESERTIFICATION: CHALLENGES BUT ALSO OPPORTUNITIES,drought,aquaculture,Global,World
2010,Insights into shell deposition in the Antarctic bivalve Laternula elliptica: gene discovery in the mantle transcriptome using 454 pyrosequencing,OA,genetics/breeding,Southern Ocean,World
2010,Perspectives: Gene expression in fisheries management,,genetics/breeding,Global,World
2010,Impact of climate change stressors on marine invertebrate life histories with a focus on the Mollusca and Echinodermata,"temp, OA",genetics/breeding,,
2010,Effect of global change on bivalve rearing activity and the need for adaptive management,"temp, precipitation",policy,Italy,Europe
2010,Temperature and salmonid reproduction: implications for aquaculture,temp,technology,,
2011,Climate change and fish culture in Patagonia: present situation and perspectives,temp,adaptive planning,Argentina,South America
2011,"Populations of the Sydney rock oyster, Saccostrea glomerata, vary in response to ocean acidification",OA,genetics/breeding,Australia,Oceania
2011,The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta,"temp, precipitation",farming techniques,Vietnam,Asia
2011,Options on Fisheries and Aquaculture for Coping with Climate Change in South Asia,,diversification; infastructure; hatchery and grow out technology; seaweed; education; monitoring; insitutional support,South Asia,Asia
2011,EST resources and establishment and validation of a 16 k cDNA microarray from Atlantic cod (Gadus morhua),,genetics/breeding,,
2011,The application of science and technology development in shaping current and future aquaculture production systems,,technology,,
2011,Integrating livestock production with crops and saline fish ponds to reduce greenhouse gas emissions,,integrated systems,Phillipines,Asia
2011,Building Nigeria's Response to Climate Change: Pilot Projects for Community-Based Adaptation in Nigeria,"temp, flood, precipitation, drought, stroms/extremes","community based, adaptive planning",Nigeria,Africa
2012,Climate change adaptation through local knowledge in the north eastern region of Bangladesh,"temp, drought, precipitation, storms",diversification; infastructure,Bangladesh,Asia
2012,Can marine fisheries and aquaculture meet fish demand from a growing human population in a changing climate?,,sustainable feed,Global,World
2012,Impact of climate change in Mediterranean aquaculture,"temp, drought, sea level, floods, HAB, disease, OA",adaptive planning,Mediterranean,"Europe, Africa, Middle East"
2012,"Factors affecting farmers' adoption of integrated rice-fish farming systems in the Mekong delta, Vietnam",,integrated systems; education; training,Vietnam,Asia
2012,"Adapting bioenergetic factorial modelling to understand the implications of heat stress on barramundi (Lates calcarifer) growth, feed utilisation and optimal protein and energy requirements - potential strategies for dealing with climate change?",temp,feeds/efficency,Global,World
2012,Nutrition and income from molluscs today imply vulnerability to ocean acidification tomorrow,OA,diversification,Global,World
2012,Predicted impact of the sea-level rise at Vellar-Coleroon estuarine region of Tamil Nadu coast in India: Mainstreaming adaptation as a coastal zone management option,sea level,management; spatial planning,India,Asia
2012,NORWEGIAN SALMONID FARMING AND GLOBAL WARMING: SOCIOECONOMIC IMPACTS,temp,management; economic assisstance,Norway,Europe
2012,Recent Developments at the Federal Level in Ocean Policymaking in the United States,OA,policy recommended,USA,North America/Caribbean
