Year,Title,Topic/Impact,Country Study Focus,ISO3,Region,Spp,Taxa group
2008,IMPACT OF SEA-LEVEL RISE ON CHIAYI COAST,sea level,Taiwan,TWN,Asia,,
2009,Assessing the impact of climate change on inland fisheries in River Ganga and its plains in India,temp,India,IN,Asia,,
2010,Impact of climate change stressors on marine invertebrate life histories with a focus on the Mollusca and Echinodermata,temp; OA,,,,invertebrates,other invert
2011,The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta,storms/extremess,,,Asia,,
2012,Review of climate change impacts on marine aquaculture in the UK and Ireland,storms/extremess; sea level; precipitaion; HAB; disease; OA; temp,United Kingdom,GB,Europe,mussels; salmon,mollusc; finfish
2012,Impact of climate change in Mediterranean aquaculture,"temp, drought, sea level, flloods",Mediterranean sea,,"Europe, Africa, Middle East",,
2012,Predicted impact of the sea-level rise at Vellar-Coleroon estuarine region of Tamil Nadu coast in India: Mainstreaming adaptation as a coastal zone management option,sea level,India,IN,Asia,,
2012,Late arrival of Anguilla japonica glass eels at the Sagami River estuary in two recent consecutive year classes: ecology and socio-economic impacts,temp,Japan,JP,Asia,glass eels,finfish
2012,NORWEGIAN SALMONID FARMING AND GLOBAL WARMING: SOCIOECONOMIC IMPACTS,temp,Norway,NO,Europe,salmon,other invert
2012,"Impacts of climate change on fish, fisheries and aquaculture",all,UK,GBR,Europe,,
2013,Impact of medium-term exposure to elevated pCO(2) levels on the physiological energetics of the mussel Mytilus chilensis,OA,,,World,mussel,mollusc
2013,Towards improved socio-economic assessments of ocean acidification's impacts,OA,,,World,hactheries,
2013,Oyster mortality in Delaware Bay: Impacts and recovery from Hurricane Irene and Tropical Storm Lee,stroms,USA,USA,,oyster,mollusc
2013,The impact of a moderate chronic temperature increase on spleen immune-relevant gene transcription depends on whether Atlantic cod (Gadus morhua) are stimulated with bacterial versus viral antigens,temp,Canada,CA,North America/Caribbean,cod,finfish
2013,Impacts and vulnerability of inland fisheries to climate change in the Ganga River system in India,"temp, precipitation, drought, storms/extremess, floods, sea level",India,IN,Asia,hatcheries,
2013,Socio-economic impacts of ocean acidification in the Mediterranean Sea,OA,,,Europe,,
2013,IMPACT OF CLIMATE CHANGE ON THE DAILY WATER LEVEL FLUCTUATION OF LAKE SAPANCA,"temp, precipitation, storms/extremess",Turkey,TR,Europe,,
2014,The impact of climate change on mediterranean intertidal communities: losses in coastal ecosystem integrity and services,"temp, invasives",Israel,IL,Middle East,,
2014,The potential impact of climate change on the infectious diseases of commercially important shellfish populations in the Irish Sea-a review,disease,Ireland,IE,Europe,shellfish,crustacea
2014,"Simulated Impacts of Climate Change on Current Farming Locations of Striped Catfish (Pangasianodon hypophthalmus; Sauvage) in the Mekong Delta, Vietnam","salinity, sea level, floods",Vietnam,VNM,Asia,catfish,finfish
