Year,Title,Topic/Impact,Country Study Focus,Region,Spp
2004,Are diseases increasing in the ocean?,disease,Global,Global,
2004,"Accumulation of arsenic in Pacific oysters, Crassostrea gigas, collected from aquaculture sites in western Taiwan",toxin,Taiwan,Asia,oyster
2005,Disease and health management in Asian aquaculture,disease,Asia,Asia,
2006,Introduced macroalgae - a growing concern,invasives,,Global,
2007,Geographic and seasonal patterns and limits on the adaptive response to temperature of European Mytilus spp. and Macoma balthica populations,temp,,Europe,mussels
2008,Global introductions of salmon and trout in the genus Oncorhynchus: 1870-2007,invasives,,Global,salmon
2008,"Changes in the immune response and metabolic fingerprint of the mussel, Mytilus edulis (Linnaeus) in response to lowered salinity and physical stress",precipitation,,Global,mussel
2008,Modeling climate change and the effect on the norwegian salmon farming industry,temp,Norway,Europe,salmon
2008,"Major diseases and the defence mechanism in giant freshwater prawn, Macrobrachium rosenbergii (de Man)",disease,,,shrimp
2008,IMPACT OF SEA-LEVEL RISE ON CHIAYI COAST,sea level,Taiwan,Asia,
2009,Scientific uncertainty and the assessment of risks posed by non-native freshwater fishes,invasives,,,
2009,Assessing the impact of climate change on inland fisheries in River Ganga and its plains in India,temp,India,Asia,
2009,DESERTS AND DESERTIFICATION: CHALLENGES BUT ALSO OPPORTUNITIES,drought,,Global,
2009,Beyond the optimum - Aquaculture nutrition and climate change,temp,,Global,
2010,Current knowledge on non-native freshwater fish introductions,invasives,,Global,
2010,Emerging viral diseases of fish and shrimp,disease,,Global,"fish, shrimp"
2010,Insights into shell deposition in the Antarctic bivalve Laternula elliptica: gene discovery in the mantle transcriptome using 454 pyrosequencing,OA,,,bivalves
2010,Temperature and salmonid reproduction: implications for aquaculture,temp,,Global,salmon
2010,"Increasing water temperature and disease risks in aquatic systems: Climate change increases the risk of some, but not all, diseases","disease, temp",Finland,Europe,
2010,Shellfish toxicity: human health implications of marine algal toxins,HAB,,Global,
2010,Patagonian Fjord Ecosystems in Southern Chile as a Highly Vulnerable Region: Problems and Needs,temp,Chile,South America,
2010,Metabolic and molecular stress responses of gilthead seam bream Sparus aurata during exposure to low ambient temperature: an analysis of mechanisms underlying the winter syndrome,temp,Mediterranean,"Europe, Africa, Middle East",seabream
2010,Impact of climate change stressors on marine invertebrate life histories with a focus on the Mollusca and Echinodermata,temp; OA,,,invertebrates
2010,Growth and mortality of Arctic charr and European whitefish reared at low temperatures,temp,,Europe,Arctic charr & Eur whitefish
2010,Global Water and Food Security: Megatrends and Emerging Issues,"drought, precipitation",,Global,
2011,"Populations of the Sydney rock oyster, Saccostrea glomerata, vary in response to ocean acidification",OA,Australia,Oceania,oyster
2011,Changing dietary habits in a changing world: Emerging drivers for the transmission of foodborne parasitic zoonoses,temp; disease,,Global,
2011,Identification of genes associated with heat tolerance in Arctic charr exposed to acute thermal stress,temp,,Global,arctic charr
2011,"Toxic marine microalgae and shellfish poisoning in the British isles: history, review of epidemiology, and future implications",HAB,British Isles,Europe,
2011,The importance of parentage in assessing temperature effects on fish early life history: a review of the experimental literature,temp,,Global,fish
2011,The application of epidemiology in aquatic animal health -opportunities and challenges,disease,,Global,
2011,"A review of non-native seaweeds from California, USA and Baja California, Mexico",invasives,,North America/Caribbean; Central America,
2011,"Ribosomal genes and heat shock proteins as putative markers for chronic, sublethal heat stress in Arctic charr: applications for aquaculture and wild fish",temp,,,
2011,Potential effects of climate change on the chemical quality of aquatic biota,toxins,,,
2011,Ballast sediment-mediated transport of non-indigenous species of dinoflagellates on the East Coast of Canada,invasives,,North America/Caribbean,
2011,The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta,storms/extremess,,Asia,
2011,Massive freshwater gains from producing food at sea,drought,,Global,
2011,ISOLATION AND EVALUATION OF NEW PROBIOTIC BACTERIA FOR USE IN SHELLFISH HATCHERIES: I. ISOLATION AND SCREENING FOR BIOACTIVITY,disease,,,
2011,Climate change and fish culture in Patagonia: present situation and perspectives,temp,,South America,
2011,Varying disease-mediated selection at different life-history stages of Atlantic salmon in fresh water,disease,,,salmon
2011,Climate Change in the Mekong River Delta and Key Concerns on Future Climate Threats,temp; drought; sea level; floods,,Asia,
